repository_url;user-login;title;labels;state;milestones;number-comments;created_at;updated_up
https://api.github.com/repos/googlesamples/android-vulkan-tutorials;emrekultursay;Cannot build using NDK 21.4;[];open;;1;2021-03-29T16:47:12Z;2021-03-29T17:17:51Z
https://api.github.com/repos/googlesamples/android-vulkan-tutorials;AndroidDeveloperLB;Sample of how to use it within live wallpaper?;[];open;;9;2018-04-28T23:45:31Z;2018-05-02T17:52:51Z
https://api.github.com/repos/googlesamples/android-vulkan-tutorials;ajaybedi;Texture2D & Sampler instead of Sampler2D crashing while creating Pipeline;[];open;;5;2017-08-01T14:40:21Z;2017-09-01T21:57:57Z
https://api.github.com/repos/googlesamples/android-vulkan-tutorials;ggfan;Create memory management sample;[];open;;0;2016-10-19T21:05:36Z;2016-10-19T21:05:36Z
repository_url;user-login;title;labels;state;milestones;number-comments;created_at;updated_up
https://api.github.com/repos/googlesamples/vulkan-basic-samples;AndroidDeveloperLB;Request: show samples of using in a live wallpaper;[];open;;2;2021-04-24T19:00:01Z;2021-04-29T06:20:10Z
repository_url;user-login;title;labels;state;milestones;number-comments;created_at;updated_up
https://api.github.com/repos/googlesamples/unity-jar-resolver;manwithsteelnerves;[Question] Game Package Registry (GPR) by Google will shut down on May 19, 2021 - Does this apply to EDM4U too?;[{'id': 311275046, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDY=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20question', 'name': 'type: question', 'color': 'ee88ee', 'default': False, 'description': ''}];open;;5;2021-04-24T03:55:17Z;2021-05-04T18:34:48Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;sp-jordi-vilalta;[FR] Abort build if pod install failed;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;3;2021-04-07T17:56:32Z;2021-04-08T14:13:37Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;snorrsi;[FR] High GC Allocation in Editor - Cache ExecutionEnvironment Cmdlineargs;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;10;2021-03-24T11:49:17Z;2021-03-30T13:49:32Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;strawlink;[Bug] Invalid path to local repository when patching mainTemplate.gradle;[{'id': 311275043, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDM=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20bug', 'name': 'type: bug', 'color': 'DD4040', 'default': False, 'description': ''}];open;;7;2021-03-09T15:31:54Z;2021-05-04T16:00:43Z
